,text,label
1172,marcus corp mrcs rd qtr feb five net shr cts vs cts net vs revs mln vs mln nine mths shr dlrs vs dlrs net vs revs mln vs mln note net includes tax credits of dlrs in the third quarter and dlrs in the nine months compared with dlrs and dlrs in the periods reuter,earn
3473,kleinert s inc klrt st qtr ends feb net shr cts vs cts net vs revs vs avg shrs vs note qtrs include tax gain of vs prior qtr ended march reuter,earn
3079,dasa corp dasa year net shr profit three cts vs loss cts net profit vs loss revs mln vs reuter,earn
1335,hydraulic thc splits for hikes dividend the hydraulic co said its board approved a three for two stock split of its common stock and increased its quarterly cash dividend it said the stock split will occur through a pct stock distribution on hydraulic s common stock payable april to stockholders of record on april the quarterly cash dividend payable april to stockholders of record on april is to be paid on hydraulic s pre split shares that are currently outstanding the company said the dividend will be cts per share up from cts per share it will represent a quarterly common stock cash dividend of cts per share on the share that will be outstanding after the stock split the company said reuter,earn
4038,inertia dynamics trim to pay stock dividend inertia dynamics corp said it declared a pct stock dividend payable may to shareholders of record april reuter,earn
1750,agra industries ltd six mths jan net oper shr cts vs cts oper net vs revs mln vs mln note net excludes extraordinary loss of dlrs or four cts vs shr vs yr ago loss of dlrs or cts shr net includes non cash loss of dlrs or cts shr vs yr ago loss of dlrs or cts shr from depreciation and amortization allowances on u s cable tv operation fewer shrs outstanding reuter,earn
4804,wean united inc wid th qtr shr loss one dlr vs profit seven cts net loss mln vs profit revs mln vs mln year shr loss dlrs vs loss dlrs net loss mln vs loss mln revs mln vs mln note earnings reflect preferred dividend requirements year includes one time gain of mln dlrs reuter,earn
2321,gainsco inc gain th qtr net shr nil vs four cts net vs revs vs avg shrs vs year shr cts vs cts net vs revs mln vs mln avg shrs vs note net includes realized gains on investments of vs for qtr and vs for year net also includes tax credit of for year ago mths reuter,earn
1766,national bancorp inc nibca year end loss oper shr loss dlr oper loss dlrs note prior year results are not available as company completed its public offering in april reuter,earn
4557,paradise fruit co inc parf year net shr cts vs cts net vs sales mln vs mln note year net penalized cts shr from loss of investment tax credits reuter,earn
2938,gulf resources gre sees st qtr pretax profit gulf resources and chemical corp said the sale of its stake in imperial continental gas association will result in a pre tax profit of about mln dlrs or dlrs per share fully duliuted in the first quarter of gulf said it sold its remaining stake in imperial of shares and units of loan stock for mln dlrs based on an exchange rate of one pound sterling at dlr as previously reported it sold of its imperial shares on march nine gulf said the sale of the imperial shares were accepted as part of a recent tender offer made by groupe bruxelles lambert s a and tractebel s a under the terms of the offer gulf said it is entitled to receive a supplementary payment if a general offer to acquire imperial continental or its calor group or contibel holdings becomes wholly unconditional before jan at a price above the tender off of pence per share reuter,earn
987,consolidate capital trust ciots th qtr net shr cts vs nil net mln vs avg shrs vs year shr dlrs vs cts net mln vs avg shrs vs note net is after depreciation full name is consolidated captial income opportunity trust reuter,earn
1818,correction simmons airlines inc simm loss in chicago item headlined simmons airlines inc simm nd qtr loss please reverse qtrs for which figures are reported reuter,earn
1711,shoney s inc shon sets payout qtly div four cts vs four cts prior pay april record april three reuter,earn
2716,gemini technology inc gmtif year loss shr loss cts net loss revs note net includes dlr write off tied to discontinuation of emulator board production co s st fl yr of operation reuter,earn
4111,sunbelt nursery group inc sbn nd qtr feb shr loss cts vs loss cts net loss mln vs loss mln revs mln vs mln six months shr loss cts vs loss cts net loss mln vs loss mln revs mln vs mln reuter,earn
4094,pharmacia ab phab st year sales billion crowns vs billion profit after financial items mln crowns vs mln the results include a once off writedown of mln crowns for intangible assets mainly the know how paid for in the takeover of a number of high tech companies by the group pharmacia said earnings per share after real tax including the writedown crowns vs crowns earnings per share after real tax not including the writedown crowns vs earnings per american depository receipt adr according to u s accounting principles after real tax including the writedown crowns vs crowns earnings per adr according to u s accounting principles after real tax without the writedown crowns vs one adr represents pct of one b free share in pharmacia the board proposed a dividend of crowns vs reuter,earn
3488,united asset management corp uam ups payout qtly div four cts vs three cts prior pay april record march reuter,earn
3535,american physicians service amph th net shr profit five cts vs profit two cts net profit vs profit revs vs mths shr profit cts vs loss cts net profit vs loss revs mln vs mln note full name of company is american physicians service group inc reuter,earn
4527,ben and jerry s homemade inc bjic th qtr net shr cts vs two cts net vs sales vs avg shrs vs year shr cts vs cts net vs sales mln vs avg shrs vs reuter,earn
138,dynamic homes inc dyhm th qtr net shr profit cts vs loss cts net profit vs loss sales vs year shr loss cts vs loss cts net loss vs sales vs reuter,earn
1770,freedom federal frfe to recognize gain freedom federal savings bank said it will recognize in its first quarter earnings a previously deferred mln dlr gain which resulted from the sale of an apartment complex in it said the recognition comes as a result of repayment of a loan which was granted when the complex was sold reuter,earn
203,bat industries pretax profit billion stg vs billion,earn
683,adsteam rights issue to raise mln dlrs the adelaide steamship co ltd adsa s adsteam said its one for five rights issue at dlrs a share will raise mln dlrs for general working capital and investment both in australia and overseas the group announced the issue with its first half earnings and said in a statement that the rights issue will be followed by a one for four bonus issue adsteam s equity accounted net earnings rose to mln dlrs in the half ended december from mln a year earlier and interim dividend to cents from adsteam shares eased to dlrs from an opening and yesterday s close of on the issue announcement the issue will be underwritten by morgan grenfell australia ltd and mccaughan dyson ltd apart from the shares to be taken up by adsteam s associate and largest shareholder department store retailer david jones ltd new shares will not rank for the interim dividend but will rank equally thereafter adsteam said it expects to maintain an annual dividend rate of cents on capital enlarged to about mln shares by both issues from mln adsteam said its diverse industrial interests generally performed well and its results as the ultimate holding company and beneficiary reflected this solid performance david jones owned pct by adsteam earned the largest associates net of mln dlrs in the half against mln a year earlier adsteam s figures show wholly owned and joint venture companies also did well apart from timber building supplies and real estate which returned below budget profits due to the housing downturn adsteam said it sees as a year of reconstruction and consolidation with the capital base boosted by the issue reuter,earn
4152,hubco inc hco st qtr net shr cts vs cts net vs assets mln vs mln reuter,earn
1230,zenith labs zen will report th qtr loss zenith laboratories inc said the company will report a fourth quarter loss and the amount will be determined on completion of its year end audit the company did not elaborate further for the third quarter ended sept zenith reported a loss of dlrs or cts per share adjusted for a may for stock split the company also said it received food and drug administration approval to market cefadroxil a generic version of an antibiotic with domestic sales exceeding mln dlrs in zenith said it will not market the drug until questions relating to the applicability of certain patents have been resolved reuter,earn
305,dyr liquidating dyr sets liquidating payout dyr liquidating corp formerly dyneer corp said its board declared a third liquidating dividend of one dlr per share payable to shareholders of record on april and said it will file a certificate of dissolution on that date the company said shareholders of record on that date will acquire beneficial interests in the liquidating trust that will be formed to hold all of the company s assets it said it has asked the american stock exchange to suspend trading in its common stock at the close on april to ensure settlement of all traded by april dyr said it expects its stock to be withdrawn from registration under the securities exchange act of shortly after april dyr said the pay date for the dividend will be april reuter,earn
1648,alden electronics adnea sets lower dividend alden electronics inc said its board declared an annual dividend of cts per share on class a and b common stock down from cts last year due to an expected drop in earnings for the year ended march the dividend is payable april to holders of record on april alden earned dlrs last year reuter,earn
1311,u s intec inc intk th qtr net shr six cts vs five cts net vs revs mln vs mln avg shrs vs mths shr cts vs dlrs net vs revs mln vs mln avg shrs vs note net for includes or cts per share for proceeds of a life insurance policy includes tax benefit for prior qtr of approximately of which relates to a lower effective tax rate based on operating results for the year as a whole reuter,earn
4461,major realty corp majr th qtr loss shr loss cts vs profit cts net loss vs profit revs vs year shr loss cts vs profit cts net loss vs profit revs vs reuter,earn
3234,cetec corp cec quarterly dividend qtly div five cts vs five cts pay may record may reuter,earn
2530,denpac corp dnpc year loss shr loss one ct vs loss one ct net loss vs loss sales vs note net includes dlr gain from forgiveness o accrued interest due to affiliates reuter,earn
4366,johnstown consolidated realty trust jct net th qtr shr cts vs eight cts net vs one mln year shr cts vs dlrs net vs mln note net includes loan loss provisions of cts shr vs cts in quarter and cts shr vs cts in year reuter,earn
276,anglo american aivj j year to dec shr cts vs final div vs making vs pre tax mln rand vs mln net mln vs mln tax mln vs mln att to outside shareholders mln vs mln pref div mln vs same turnover billion vs billion div pay may register march note full name is anglo american industrial corp ltd reuter,earn
4541,seagate technology sgat rd qtr march net shr cts vs cts net vs sales mln vs mln avg shrs vs nine mths shr dlrs vs cts net vs sales mln vs mln avg shrs vs reuter,earn
1330,intermedics inc itm st qtr net oper shr cts vs cts oper net vs revs mln vs mln avg shrs mln vs mln note prior qtr excludes loss or five cts per share for discontinued operations for the sale of subsidiaries intermedics intraocular inc electronics inc and intermedics infusaid inc excludes qtr operating loss carryforwards vs qtr prior reuter,earn
4919,camco inc cam sets quarterly qtly div cts vs cts prior pay april record march reuter,earn
2965,everest and jennings international eja th qtr shr profit nine cts vs loss cts net profit vs loss sales mln vs mln year shr profit dlrs vs loss cts net profit mln vs loss sales mln vs mln note net both periods includes dlr provision for plant closing net includes gains on sale of west los angeles real estate of dlrs in quarter and dlrs in year year net includes gains on sale of west los angeles real estate of dlrs reuter,earn
332,santos ltd stos s year end dec net profit dlrs vs mln,earn
3078,cri insured mortgage investments lp crm payout mthly div cts vs cts prior pay may record march reuter,earn
144,internchange financial services isbj payout up qtly div cts vs cts prior pay april record march note interchange financial services corp reuter,earn
4511,maverick restaurant corp mavr th qtr loss ended jan shr loss cts vs loss one ct net loss vs loss revs vs year shr loss cts vs loss two cts net loss vs loss revs mln vs mln note current periods include charge of mln dlrs or cts for restaurant closings reuter,earn
313,power corp of canada th qtr net oper shr cts vs cts oper net vs revs mln vs mln year oper shr dlrs vs cts oper net vs revs mln vs mln note fourth quarter results exclude extraordinary and other items which raised final net to dlrs or cts a share and lowered final net to dlrs or cts a share in full year results exclude extraordinary and other items which raised final net to dlrs or dlrs per share and net to or dlrs per share results restated to reflect june two for one stock split reuter,earn
2313,agency rent a car agnc sets stock dividend agency rent a car inc said its board declared a five pct stock dividend payable may to holders of record on may the company also said it plans to increase the size of its rental fleet in the year ending january by to pct and expand its rental office network reuter,earn
4608,nestle seeking authorisation for certificate issue nestle sa nesz z said it would seek shareholder approval to issue participation certificates up to pct of share capital instead of the current limit of pct it said it wanted this authorisation in view of future certificate issues nestle s nominal capital amounts to mln swiss francs nestle reported net profits of billion francs for up pct from while turnover fell pct to billion as the swiss franc strengthened against other currencies the parent company s net profit rose to mln francs from mln in and the company planned an unchanged dividend of francs per share and francs per certificate after placing mln francs in reserves against mln last year the payout represented pct of group net profit against pct last year nestle said it had also invited fritz leutwiler former president of the swiss national bank and currently chairman of bbc ag brown boveri und cie bbcz z to join the nestle board reuter,earn
1797,estimated drop in japan corporate profits trimmed the combined profits of japan s major corporations excluding financial institutions are forecast to fall pct in the year ending march compared to the pct decline projected in late november wako research institute of economics said the private research body also said in a statement that of the firms listed on the first section of the tokyo stock exchange foresee an pct fall in sales in the year against an pct fall estimated last november current profits are projected to fall pct in on sales seen increasing by pct it said rationalisation measures taken by manufacturing industries to cope with the yen s sharp rise are beginning to brighten their business outlook the institute said it said lower interest rates which are expected to reduce corporate borrowing costs are also behind the improved performance outlook earnings performance in the non manufacturing sector will be supported by firm demand in the real estate and construction businesses it said the forecast was based on average exchange rate estimates of yen to the dollar in and yen in reuter,earn
2517,paradyne pdn pleads guilty to criminal charge paradyne corp said it pleaded guilty to criminal charges of conspiracy to defraud the social security administration and agreed to pay mln dlrs in fines and costs to the u s government the company also reached agreements in principle for an mln dlr settlement of class action law suits about mln dlrs of the class action settlement will be provided by paradyne s insurance carrier the settlement is contingent on court approval after notice to class members it said the criminal case settlement dismisses all charges including bribery and false statement except for conspiracy to which paradyne pleaded guilty the criminal settlement includes the lifting of the government s suspension the dismissal of the federal civil false claims suit and all charges against the individuals of the mln dlrs the insurance carrier will provide for the civil settlement dlrs will go to settle a derivative lawsuit for the year ended december paradyne reported a net loss of mln dlrs the year end results include an mln dlrs provision for future legal and or settlement costs to cover the civil and criminal settlements announced today paradyne also said it named jerry kendall as president and chief executive officer succeeding robert wiggins who resigned as chairman and chief executive officer as part of the settlement of the indictment kendall formerly served as executive vice president and chief operating officer the company also said that due to the sluggish marketplace it does not expect to be profitable in the first quarter but is optimistic about the outlook for the year for the first quarter of the company reported net income of dlrs on sales of mln dlrs wiggins was among five paradyine executives who were charged along with three former officers in a federal indictment stemming from a mln contract awarded to paradyne in to build a computer network for the social security administration the men were accused of conspiring to bribe government officials and defaud the social security administration wiggins and other defendants were also charged with providing false testimony and obstructing justice during a securities and exchange commission investigation under the settlement announced today federal prosecutors agreed to defer all charges against wiggins and three other defendants under a one year pretrial agreement the charges would then be dropped if the defendants successfully complete the probation period details of the requirements in the agreement were not immediately available reuter,earn
224,citroen expects higher profits helped by ax automobiles citroen expects rising sales of its new ax compact car to help boost profits significantly this year continuing a financial recovery after six straight years of losses president jacques calvet said speaking to reporters during weekend trials for the new ax sports model he said all the budgetary forecasts that we have been able to make show a relatively significant improvement in compared with he added citroen part of the private peugeot sa peup pa group increased its share of the french new car market to pct in first two months from pct a year earlier it is aiming for an average pct share throughout the year after pct in the firm believes it is on target to raise its share of the european market excluding france to pct this year from pct in our first problem is to produce enough vehicles to meet the demand calvet said this is a relatively new problem for us citroen lost close to two billion francs in but cut the deficit to mln in helped by moves to modernise its range and improve productivity calvet indicated last december he expected citroen s profit to be between and million francs this weekend he said that those profit estimates remain about the same perhaps even a little more optimistic some of this optimism is due to the early success of the ax launched on the french market last october it will be available throughout most of western europe within four months the car has registered just over sales it is being built at citroen s large plant at aulnay sous bois in northern paris as well as at rennes in brittany and vigo in spain with production just reaching target level of cars a day the car which citroen markets as an intermediate model between its long running cv and the visa is designed to compete with the renault volkswagen polo and opel corsa the ax had built up its market share in france to around four pct last month calvet said our hope is that once the ax is fully developed we will have between and seven per cent of the national market reuter,earn
3118,mark resources inc year loss shr not given loss mln revs mln note prior year results not given results include accounts of pct owned precambrian shield resources ltd acquired november reuter,earn
1325,fuqua industries inc fqa sets quarterly qtly div six cts vs six cts prior pay april one record march reuter,earn
4526,brown transport co inc btci th qtr net shr profit cts vs profit cts net profit vs profit revs mln vs mln avg shrs mln vs mln mths shr profit dlrs vs loss cts net profit vs loss revs mln vs mln avg shrs mln vs mln reuter,earn
766,hartford national corp hnat regular dividend qtly div cts vs cts in prior qtr payable april record march reuter,earn
907,rykoff sexton inc ryk rd qtr jan net shr cts vs cts net vs sales mln vs mln nine mths shr cts vs dlrs net vs sales mln vs mln reuter,earn
3711,scientific measurement systems inc scms net nd qtr jan shr loss three cts vs loss seven cts net loss vs loss revs vs avg shrs mln vs st half shr loss six cts vs loss cts net loss vs loss revs vs avg shrs mln vs reuter,earn
1420,far west industries inc year net shr cts vs cts net vs revs mln vs mln reuter,earn
239,first interstate i estimates loss on brazil first interstate bancorp chairman joseph pinola said the bank holding company would lose about mln dlrs per year after taxes if it had to put its medium and long term debt on non accrual status in an interview he said that could result in about a pct decline in annual earnings per share pinola said first interstate like other banks has not yet decided to put the loans which brazil stopped paying interest on last month on non accrual status none of us really wants to injure negotiations that might be going on he said first interstate reported to the securities and exchange commission last week that it has about mln dlrs in medium to long term loans to brazil it said on december its nonperformind brazilian outstanding debt totaled about mln dlrs first interstate also has about mln dlrs in short term loans or trade lines to brazil pinola said he believes the solution to the brazilian debt crisis will be more political than economic which he said he finds very disquieting and discomforting reuter,earn
4753,lucas industries plc lucs l halfyear ended jan shr p vs p interim div p vs same pre tax profit mln stg vs mln net profit before minorities mln vs mln turnover mln vs mln trading profit mln stg vs mln related companies profit mln vs mln interest payable mln vs mln reorganisation and redundancy costs mln vs mln tax mln vs mln minorities mln vs mln extraordinary charges mln vs mln reuter,earn
2888,national patent development corp npd in payout qtly div cts vs cts prior pay may one record april one reuter,earn
1494,sun hung kai co ltd year shr h k cents vs final div six cents vs three making nine cents vs net mln dlrs vs mln note extraordinary gains mln dlrs vs mln special bonus four cents vs nil dividend payable may books close april to may reuter,earn
2847,woolworth u k says growth prospects exciting woolworth holdings plc wluk l which earlier announced a pre tax profits rise of pct over said its prospects for growth were very exciting the profit figure of mln stg exceeded a forecast by some pct made during the hostile bid by dixons group plc dxns l last year and the company said the results were a major step towards the aim of making woolworth the most profitable retailing group in the u k it aimed to produce growth from all its businesses and look for opportunities to acquire specialist retail businesses earlier this month the group said that tentative merger talks with the high street pharmacist underwoods plc had been called off and recently announced a mln stg recommended offer for charlie browns car part centres plc the b and q do it yourself centres raised sales by pct and retail profit by pct with its pretax contribution of mln making it the largest single component the company said that the improvement had been achieved by substantial organic growth in existing stores as well as by the opening of a further new outlets and enhanced margins in other sectors the comet electrical chain raised retail profits by pct to mln stg while the woolworth chain reported a pct improvement to mln the company said its property operations would increase substantially following the start of a joint venture deal with developers rosehaugh plc the defence costs against the billion stg bid from dixons resulted in a mln stg extraordinary charge the results were mln stg up on most analysts forecasts as a result the group s shares rose strongly peaking at p from last night s p before easing to p at gmt reuter,earn
717,amerihealth inc ahth th qtr loss oper shr loss one ct vs loss cts oper net profit vs loss revs vs year oper shr loss six cts vs loss cts oper net profit vs loss revs mln vs mln note net excludes tax credits of dlrs in quarter and dlrs in year and gains on termination of pension plan of dlrs in quarter and dlrs in year share after preferred dividends reuter,earn
1245,milastar corp mila rd qtr jan loss shr loss two cts vs loss four cts net loss vs loss sales vs nine mths shr loss seven cts vs loss three cts net loss vs loss sales vs note prior nine mths net includes dlr loss on sale of marketable securities prior quarter net includes dlr tax credit current year net includes provisions for loss on investment in preferred stock of dlrs in quarter and dlrs in nine mths reuter,earn
3656,corrected manhattan national mlc th qtr loss oper shr loss cts vs loss cts oper net loss vs loss revs mln vs mln mths oper shr profit six cts vs loss cts oper net profit vs loss revs mln vs mln company corrects to show profit rather than a loss for current mths oper shr and oper net reuter,earn
229,shared medical systems corp smed sets payout qtly div cts vs cts prior pay april record march reuter,earn
4591,puerto rican cement co prn sets payout qtly div five cts vs five cts prior pay may record april note company said up to pct of dividend payment may be withheld in accordance with puerto rico tax law reuter,earn
1840,american international group aig qtly div qtly div cts vs cts prior pay june record june reuter,earn
484,mayfair industries inc mayf th qtr net oper shr cts vs cts oper net vs revs vs avg shrs vs mths oper shr cts vs cts oper net vs revs mln vs mln avg shrs vs note excludes tax gain of dlrs for qtr and year reuter,earn
3082,cml group inc cmli nd qtr jan net shr cts vs cts net vs sales mln vs mln avg shrs vs st half shr cts vs cts net vs sales mln vs mln avg shrs vs reuter,earn
3290,north east neic may violate capital rules north east insurance co said due to the magnitude of its losses in and it may be found in violation of minimum capital and surplus requirements by officials in maine and new york and be subject to sanctions and administrative actions in those and other states the company today reported a loss of dlrs after realized investment gains of dlrs compared with a loss of dlrs after investment gains of dlrs its fourth quarter net loss was dlrs compared with dlrs the company said its fourth quarter and year losses resulted from additions to loss reserves reuter,earn
647,systems for health care in one for split systems for health care inc said it repositioned the company through a one for reverse stock split it said there are now common shares outstanding with a quoted price of about bid compared to shares outstanding prior to the split in another recent development systems for health care formally changed its name to its present form from orcas corp reuter,earn
1975,cypress savings association cypsa th qtr loss shr loss dlrs vs loss dlrs net loss vs year shr loss dlrs vs loss dlrs net loss vs loss note net includes tax credits of dlrs vs dlrs in quarter and dlrs vs dlrs in year reuter,earn
529,metro funding shareholders approve merger metro funding corp said its shareholders approved its merger into maxcom corp and its change of incorporation from nevada to delaware metro funding also said its subsidiary comet corp will be renamed maxcom usa the company also reported shareholders approved the authorization of shares of common stock to be set aside for an incentive stock option plan reuter,acq
4359,landmark savings lsa completes office sale landmark savings association said it completed the sale of its whitehall pa office including deposits of about mln dlrs to parkvale savings association landmark said it realized a gain of about mln dlrs on the sale the price was not disclosed reuter,acq
149,fortune savings to buy financial fssl branch fortune savings bank said it agreed to buy the deposits and assume the leasehold of a financial security savings and loan association fssl branch here terms of the agreement were not disclosed fortune said the agreement is subject to regulatory approval it also said that if the transaction is approved financial would generate a profit on the sale reuter,acq
272,inverness buys assets from parent silverton inverness petroleum ltd said it acquired the oil and gas assets of its controlling shareholder silverton resources ltd for mln dlrs effective march inverness said it issued class a convertible retractable redeemable preferred shares in exchange for the assets which include all silverton s oil and gas properties undeveloped acreage and its shares of australian subsidiary s r l exploration pty ltd the preferred shares were immediately retracted for cash the company said the transaction resulted in a discharge of silverton s bank debt of mln dlrs and a three mln dlr loan to inverness from silverton inverness said as a result of the acquisition inverness has bank debt of mln dlrs it said reuter,acq
3220,atico financial atfc to make acquisition atico financial corp said it has executed a definitive agreement to acquire pct of intercontinental bank of dade county fla from intercontinental bank holding co for an undisclosed amount of cash and common stock it said closing is subject to regulatory approval atico said in connection with the acquisition it will apply to become a registered bank holding company and convert its npct owned atico savings bank subsidiary to a state chartered commercial bank intercontinental had year end assets of about mln dlrs atico had year end assets of about mln dlrs reuter,acq
2790,nova wins government okay for husky hyo deal nova the canadian company that owns pct of husky oil ltd said it received government approval for a transaction under which union faith canada holding ltd would buy a pct stake in husky nova said the minister of regional and industrial expansion michel cote ruled that union faith s purchase of the husky stake would not result in husky ceding control to a non canadian company it said this ruling was a key condition in completing the deal union faith is equally owned by hutchison whampoa ltd and hong kong electric holdings ltd under the agreement with union faith husky will become a private company with union faith and nova each holding pct of its stock nine pct of husky would be owned by relatives of li ka shing chairman of hutchison and five pct by the canadian imperial bank of commerice reuter,acq
606,american express axp viewing shearson options american express co rumored to be considering a spinoff of part of shearson lehman brothers inc said it is studying a range of options for its brokerage unit that could improve shearon s access to capital and help it meet broadening international competition in a joint statement american express and shearson said the actions under consideration are an integral part of american express worldwide financial services strategy and that the two companies have been having both internal and external discussions on the matters american express said no decision has been reached on the strategic options and that it and shearson could ultimately decide to follow growth plans already in place last week rumors circulated on wall street that the financial services giant was considering a spinoff of part of shearson and there was speculation it may be considering selling a stake to a japanese firm analysts said the speculation also focused on american express selling pct of the profitable brokerage firm to the public there was some speculation that american express had also considered a total spinoff of shearson but the plan was considered highly unlikely analysts said american express said in the statement on sunday that it will not comment on rumors and speculation and a spokesman would not go beyond the statement the company also remained silent last thursday and friday as rumors drove american express stock up a total of dlrs in two days to bring it to a friday close at it said it issued the statement on sunday because a similar statement was being circulated to employees analysts have been divided on whether it makes sense for american express to give up a stake in the wholly owned brokerage which improved its after tax earnings by about pct in the last year some analysts said american express may consider spinning off part of shearson because it is concerned that its stock price does not fully reflect the value of the brokerage firm shearson contributed mln dlrs of american express billion dlr net in american express ambitious plans for international growth may be also enhanced by the added cash that spinning out part of shearson would bring analysts speculated that all of shearson would have a market value of about billion dlrs to some however the need for added capital is puzzling american express is in a position where they can raise capital if they need to said larry eckenfelder of prudential bache securities analysts said rumors were fed by the reorganization of shearson management wednesday chief operating officer jeffrey lane got the added previously vacant post of president the reorganization also created four new positions for chairmen of shearson s operating divisions a move analysts speculated would allow shearson to be a stand alone company analysts contacted on sunday said the statement does little to clarify last week s market speculation it does confirm however that the financial services firm which unsuccessfully attempted to expand shearson with a major acquisition last year is looking beyond its own walls for growth and positioning in the global market competition late last year shearson s takeover offer to the e f hutton group inc was rejected by hutton and analysts said there had been speculation that shearson also was rebuffed when it approached another major wall street brokerage reuter,acq
1216,bilzerian ups pay n pak pnp stake to pct investor paul bilzerian who has said he may seek control of pay n pak stores inc said he raised his stake in the company to one mln shares or pct of the total from shares or pct in a filing with the securities and exchange commission bilzerian and bicoastal financial corp a tampa fla investment firm he controls said they bought shares of pay n pak common stock on march and at prices ranging from to dlrs a share bilzerian last week said he was considering raising his stake in the company seeking a board seat or control reuter,acq
2745,imatron imat sells stake to mitsui mitsy imatron inc said mitsui and co ltd of japan has purchased a two mln dlr equity interest in imatron at market price and was granted a day option to make another two mln dlr investment at the same price imatron said mitsui the exclusive importer of imatron s ultrafast computed tomography scanners into japan is scheduled to take delivery of its first scanner next month for installation in a large cardiology center it said it has entered into preliminary discussions with mitsui on the formation of a joint venture to finance the accelerated development of imatron s technology and its commercialization in japan reuter,acq
1074,first wisconsin fwb to buy minnesota bank first wisconsin corp said it plans to acquire shelard bancshares inc for about mln dlrs in cash its first acquisition of a minnesota based bank first wisconsin said shelard is the holding company for two banks with total assets of mln dlrs first wisconsin which had assets at yearend of billion dlrs said the shelard purchase price is about times the earnings of the bank it said the two shelard banks have a total of five offices in the minneapolis st paul area reuter,acq
4276,chemlawn corp said it is talking with new suitors about being acquired,acq
